City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,bubaque,GW,2024-05-09,11.2833,-15.8333,100,81,79.934,3.31
1,port-aux-francais,TF,2024-05-09,-49.35,70.2167,100,91,44.33000000000004,16.89
2,antalaha,MG,2024-05-09,-14.9003,50.2788,79,88,73.58000000000004,3.29
3,howard springs,AU,2024-05-09,-12.497,131.047,5,66,92.084,4.7
4,saint-pierre,RE,2024-05-09,-21.3393,55.4781,75,83,73.34600000000006,7.72
5,waitangi,NZ,2024-05-09,-43.9535,-176.5597,79,85,51.09800000000003,1.34
6,adamstown,PN,2024-05-09,-25.066,-130.1015,86,78,72.55399999999995,4.66
7,whitehorse,CA,2024-05-09,60.7161,-135.0538,75,58,50.07200000000004,8.75
8,hamilton,US,2024-05-09,39.1834,-84.5333,40,92,61.016000000000005,4.63
9,albany,US,2024-05-09,42.6001,-73.9662,100,62,57.01999999999996,1.56
10,weno,FM,2024-05-09,7.4515,151.8468,75,74,89.816,5.14
11,saldanha,ZA,2024-05-09,-33.0117,17.9442,26,91,52.12400000000001,5.99
12,margaret river,AU,2024-05-09,-33.95,115.0667,71,75,69.65600000000003,8.5
13,crane,US,2024-05-09,31.3974,-102.3501,12,49,75.03800000000004,11.48
14,olbia,IT,2024-05-09,40.9214,9.4856,0,72,62.924000000000014,1.03
15,sao gabriel da cachoeira,BR,2024-05-09,-0.1303,-67.0892,99,98,75.36199999999997,0.24
16,bredasdorp,ZA,2024-05-09,-34.5322,20.0403,0,82,50.648000000000025,2.32
17,waiuku,NZ,2024-05-09,-37.25,174.75,0,70,60.22400000000002,4.85
18,salinopolis,BR,2024-05-09,-0.6136,-47.3561,92,87,79.77200000000005,4.1
19,bilibino,RU,2024-05-09,68.0546,166.4372,97,87,32.97200000000004,1.08
20,grytviken,GS,2024-05-09,-54.2811,-36.5092,100,89,32.54000000000002,1.53
21,tshabong,BW,2024-05-09,-26.05,22.45,3,28,65.35399999999996,5.23
22,juruti,BR,2024-05-09,-2.1522,-56.0922,100,96,77.52200000000005,1.04
23,west island,CC,2024-05-09,-12.1568,96.8225,100,69,82.65199999999999,8.75
24,houma,US,2024-05-09,29.5958,-90.7195,100,85,81.26600000000002,2.57
25,edinburgh of the seven seas,SH,2024-05-09,-37.0676,-12.3116,100,60,56.04800000000003,4.77
26,blackmans bay,AU,2024-05-09,-43.0167,147.3167,96,91,57.992,1.5
27,isafjordur,IS,2024-05-09,66.0755,-23.124,98,83,35.34800000000003,1.23
28,atafu village,TK,2024-05-09,-8.5421,-172.5159,78,70,85.13599999999997,1.13
29,longyearbyen,SJ,2024-05-09,78.2186,15.6401,75,64,32.108000000000004,9.26
30,carnarvon,AU,2024-05-09,-24.8667,113.6333,38,52,79.57400000000001,0.37
31,geraldton,AU,2024-05-09,-28.7667,114.6,100,34,81.28399999999999,6.17
32,hithadhoo,MV,2024-05-09,-0.6,73.0833,23,76,84.52400000000002,3.73
33,quatre cocos,MU,2024-05-09,-20.2078,57.7625,91,75,76.35199999999998,8.85
34,avarua,CK,2024-05-09,-21.2078,-159.775,75,83,82.72400000000002,5.14
35,yellowknife,CA,2024-05-09,62.456,-114.3525,20,33,57.992,5.14
36,midvagur,FO,2024-05-09,62.0511,-7.1939,100,100,47.498000000000026,4.12
37,indramayu,ID,2024-05-09,-6.3264,108.32,2,71,85.87400000000002,4.68
38,newman,US,2024-05-09,37.3138,-121.0208,0,31,82.90399999999995,2.16
39,la sarre,CA,2024-05-09,48.8002,-79.1996,8,58,43.7,2.97
40,college,US,2024-05-09,64.8569,-147.8028,75,47,54.33800000000005,6.17
41,pandan,PH,2024-05-09,14.0453,124.1694,28,61,88.53800000000004,2.03
42,mukharram al fawqani,SY,2024-05-09,34.8151,37.0861,2,28,65.35399999999996,4.7
43,vastervik,,,,,,,,
44,mana,GF,2024-05-09,5.6592,-53.7767,100,89,79.05199999999998,4.98
45,baskale,TR,2024-05-09,38.0453,44.0172,100,80,41.648000000000025,0.83
46,basoko,CD,2024-05-09,1.2391,23.616,95,94,72.05000000000001,1.34
47,jindabyne,AU,2024-05-09,-36.4167,148.6333,100,94,51.83599999999997,1.34
48,puerto baquerizo moreno,EC,2024-05-09,-0.9,-89.6,61,85,73.90399999999995,4.04
49,talnakh,RU,2024-05-09,69.4865,88.3972,5,78,23.161999999999956,1.3
50,neiafu,TO,2024-05-09,-18.65,-173.9833,20,57,83.35399999999996,2.57
